Jogador,Clube Origem,Clube Destino
Gabriel Grando,Cruzeiro EC,Grêmio FBPA
Gabriel Grando,Cruzeiro EC,Grêmio FBPA
Gabriel Inocêncio,EC Juventude,Chapecoense
Gabriel Lacerda,Sydney FC,Ceará SC
Gabriel Mec,Grêmio U20,Grêmio FBPA
Gabriel Menino,SE Palmeiras,Atlético Mineiro
Gabriel Menino,SE Palmeiras,Atlético Mineiro
Gabriel Moscardo,SC Corinthians,PSG
Gabriel Neves,Independiente,São Paulo FC
Gabriel Neves,São Paulo FC,Estudiantes LP
Gabriel Noga,CR Flamengo,Leixões
Gabriel Noga,Leixões,CR Flamengo
Gabriel Novaes,Ponte Preta,RB Bragantino
Gabriel Novaes,RB Bragantino,Criciúma
Gabriel Pires,Fluminense FC,Panserraikos
Gabriel Santiago,ABC,EC Vitória
Gabriel Santiago,EC Vitória,Figueirense
Gabriel Silva,Grêmio FBPA,Hercílio Luz
Gabriel Silva,Hercílio Luz,Grêmio FBPA
Gabriel Silva,Inter Limeira,Grêmio FBPA
Gabriel Silva,Sampaio Corrêa,Grêmio FBPA
Gabriel Souza,Cianorte,EC Juventude
Gabriel Souza,Portimonense 23,EC Bahia
Gabriel Toebe,Avenida,Botafogo FR
Gabriel Toebe,Botafogo FR,Avenida
Gabriel Veron,Cruzeiro EC,FC Porto
Gabriel Veron,FC Porto,Santos FC
Garcia,SE Palmeiras,Nacional
Gary Medel,CR Vasco da Gama,Boca Juniors
Gastón Ávila,Ajax,Fortaleza EC
Gazão,Grêmio FBPA,São Bento
Gazão,Sampaio Corrêa,Grêmio FBPA
Giovanny,GX Pingguo,EC Juventude
Giuliano,Santos FC,Athletico Paranaense
Giuliano Galoppo,São Paulo FC,River Plate
Gonzalo Escobar,Fortaleza EC,Santos FC
Gonzalo Escobar,Fortaleza EC,Santos FC
Gonzalo Escobar,Santos FC,Fortaleza EC
Gonzalo Escobar,Santos FC,Fortaleza EC
Gonzalo Mastriani,Athletico Paranaense,Botafogo FR
Gonzalo Plata,Al-Sadd,CR Flamengo
Gonçalo Paciência,Sanf. Hiroshima,Sport Recife
Guilherme Biro,SC Corinthians,Sharjah FC
Guilherme Cachoeira,Fortaleza EC,CSA
Guilherme Cachoeira,Remo,Fortaleza EC
Guilherme Castilho,Ceará SC,EC Juventude
Guilherme Castilho,Ceará SC,FC Juárez
Guilherme Castilho,Ceará SC,FC Juárez
Guilherme Castilho,Ceará SC,Juventude
Guilherme Castilho,EC Juventude,Ceará SC
Guilherme Castilho,FC Juárez,Ceará SC
Guilherme Castilho,Juventude,Ceará SC
Guilherme Pato,Figueirense,Mirassol FC
Guilherme Pato,Mirassol FC,América-MG
Guilherme Paz,São Paulo FC,Sem clube
Gustavo,Criciúma,EC Juventude
Gustavo Apis,Nova Iguaçu,Fluminense FC
Gustavo Coutinho,Sport Recife,Coritiba
Gustavo Cuéllar,Al-Shabab,Grêmio FBPA
Gustavo Henrique,EC Bahia,Portuguesa
Gustavo Maia,Náutico,Sport Recife
Gustavo Mancha,Fortaleza U20,Fortaleza EC
Gustavo Nunes,Grêmio FBPA,Brentford
Gustavo Sauer,Botafogo FR,Cuiabá
Gustavo Sauer,Botafogo FR,WH Three Towns
Gustavo Sauer,C. Rizespor,Botafogo FR
Gustavo Sauer,Cuiabá,Botafogo FR
Gustavo Silva,SC Corinthians,EC Vitória
Gustavo Silva,SC Corinthians,EC Vitória
Guzmán Rodríguez,Peñarol,RB Bragantino
Habraão,Chapecoense,Fortaleza EC
Habraão,Fortaleza EC,Athletico Paranaense
Habraão,Fortaleza EC,Santa Clara
Habraão,Santa Clara,Fortaleza EC
Halls,CR Vasco da Gama,Vila Nova
Halls,Vila Nova,CR Vasco da Gama
Hayner,Azuriz,Santos FC
Hayner,Santos FC,Azuriz
Hayner,Santos FC,CRB
Helibelton Palacios,Cruzeiro EC,Millonarios
Helibelton Palacios,Cruzeiro EC,Sport
Helibelton Palacios,Cruzeiro EC,Sport Recife
Helibelton Palacios,Sport,Cruzeiro EC
Helibelton Palacios,Sport Recife,Cruzeiro EC
Helinho,RB Bragantino,Toluca
Henri,Mirassol,SE Palmeiras
Henri,Mirassol FC,SE Palmeiras
Henri,SE Palmeiras,CRB
Henrique Rodrigues,Cruzeiro EC,Betim Futebol
Henrique Rodrigues,Figueirense,Cruzeiro EC
Hereda,CRB,Sport Recife
Hugo,Botafogo FR,EC Vitória
Hugo,Botafogo FR,EC Vitória
Hugo,EC Vitória,Botafogo FR
Hugo,EC Vitória,Botafogo FR
Hugo Leonardo,São Paulo U20,São Paulo FC
Hugo Mallo,SC Internacional,Aris Saloniki
Hugo Moura,Athletico Paranaense,CR Vasco da Gama
Hugo Moura,CR Vasco da Gama,Athletico Paranaense
Hugo Souza,CR Flamengo,SC Corinthians
Hugo Souza,CR Flamengo,SC Corinthians
Hugo Souza,CR Flamengo,SC Corinthians
Hugo Souza,CR Flamengo,SC Corinthians
Hugo Souza,Chaves,CR Flamengo
Hugo Souza,SC Corinthians,CR Flamengo
Hugo Souza,SC Corinthians,CR Flamengo
Hyoran,SC Internacional,Sport
Hyoran,SC Internacional,Sport Recife
Héctor Hernández,Chaves,SC Corinthians
Hércules,Fortaleza EC,Fluminense FC
Hércules,Fortaleza EC,Fluminense FC
Iago,Augsburg,EC Bahia
Ian Luccas,Cruzeiro EC,Ferroviária
Ian Luccas,Goiás,Cruzeiro EC
Iba Ly,Inter Limeira,São Paulo FC
Iba Ly,São Paulo FC,Inter Limeira
Iba Ly,São Paulo FC,Retrô
Ignacio Laquintana,RB Bragantino,Santos FC
Ignacio Laquintana,RB Bragantino,Santos FC
Ignacio Laquintana,Santos FC,RB Bragantino
Ignacio Laquintana,Santos FC,RB Bragantino
Ignácio,Sport. Cristal,Fluminense FC
Igo Gabriel,Botafogo FR,Botafogo U23
Igo Gabriel,Confiança,Botafogo FR
Igor Cariús,Suspensão,Sport Recife
Igor Gomes,SC Internacional,Shabab Al-Ahli
Igor Jesus,CR Flamengo,Estrela Amadora
Igor Jesus,Shabab Al-Ahli,Botafogo FR
Igor Serrote,Grêmio U20,Grêmio FBPA
Igor Torres,Al-Khaldiya FC,Fortaleza EC
Igor Torres,Aparecidense,Fortaleza EC
Igor Torres,Fortaleza EC,Al-Khaldiya FC
Igor Torres,Fortaleza EC,Portuguesa
Igor Torres,Vila Nova,Fortaleza EC
Imanol Machuca,Fortaleza EC,Vélez Sarsfield
Isaac,Atlético Mineiro,Nacional
Isaac,Fluminense FC,Athletico Paranaense
Isaque,Mirassol FC,Guarani
Isidro Pitta,Cuiabá,RB Bragantino
Iury Castilho,EC Vitória,Mirassol
Iury Castilho,EC Vitória,Mirassol FC
Iury Castilho,Mirassol FC,Coritiba
Ivan Cavaleiro,RB Bragantino,Sem clube
Ivan Cavaleiro,Sem clube,RB Bragantino
Ivonei,Santos FC,Al-Bataeh CSC
Iván Román,Palestino,Atlético Mineiro
JP,CR Vasco da Gama,Avaí
JP Galvão,Botafogo FR,Botafogo U23
JP Galvão,Chapecoense,Botafogo FR
Jacob Montes,Botafogo FR,RWDM
Jadsom,RB Bragantino,Al-Wahda
Jair Cunha,Santos FC,Botafogo FR
Jair Cunha,Santos FC,Botafogo FR
Jamal Lewis,Newcastle,São Paulo FC
Jamal Lewis,São Paulo FC,Newcastle
Jamerson,Coritiba,EC Vitória
James Rodríguez,São Paulo FC,Rayo Vallecano
Janderson,Atlético-GO,Ceará SC
Janderson,Ceará SC,Atlético-GO
Janderson,Ceará SC,Remo
Janderson,Flu-PI U20,Cruzeiro EC
